"","material","dolar","aco","ipca","amostragem","result"
"85",0.997383717640594,1.3747618736595,1.04021343350931,0.821477736853879,1,0.990433337534953
"86",1.17289675941073,1.57243051296015,1.18656497927624,0.886237237639828,1,1.17417183222071
"87",1.21278608708576,1.49508191497294,1.52377263443511,0.908030109797241,1,1.21437561690417
"88",1.28724616541249,1.2630361210113,1.82161086792569,0.966598453720288,1,1.288540515797
"89",1.4268588122751,1.03958461571491,2.03643097311573,1.00424068744673,1,1.42874412959359
"90",1.57046039190521,1.15131036836311,1.81818743995453,1.07283870548767,1,1.57638933581899
"91",1.81644457923457,1.22865896635032,2.20931408565911,1.13561703607749,2,1.70899122585908
"92",1.83240031030458,1.25444183234606,2.24012493739952,1.21994059255021,1,1.72317988890266
"93",1.89622323458463,1.47789333764245,2.25296279229135,1.31194118353292,1,1.89440464328054
"94",2.14486671042566,1.49508191497294,1.95170113082962,1.38276801804452,1,2.13290059864216
"95",2.07971414188978,1.57243051296015,1.88152085742092,1.43762166784982,2,1.98807436671055
"96",2.00525406356305,1.4692990489772,1.84215143575262,1.47860712628223,1,2.00297854107747
"97",2.05312125677309,1.18568752302409,1.73089002669005,1.55550129451946,1,2.0649475214424
"98",1.78453311709454,0.988018883723438,1.71034945886312,1.6801911937383,1,1.79534379859679
"99",1.70076552897698,0.807538821753278,1.88066500042813,1.76315269570117,1,1.73583637848437
"100",1.66353548981362,0.979424595058193,2.06467425387777,1.80029963687858,2,1.73732347368861
"101",1.65156869151111,1.0567731930454,1.98507955354839,1.85354358589953,1,1.71342404924056
"102",1.6475797587436,1.33179043033327,1.81647572596895,1.79918522864326,1,1.63931237562895
"103",1.88957501330546,1.13412179103262,1.79422344415644,1.77058208393666,1,1.88564864346144
"104",1.65688726853444,1.22006467768507,1.76683602038719,1.74755098040666,1,1.67132713662988
"105",1.61167936383608,1.22865896635032,1.70007917494965,1.79410848001568,1,1.61091396822438
"106",1.66220584555778,1.24584754368081,1.6803944641155,1.82667396511454,2,1.54806651669806
